id,name,displayName,race,bodyType,imagePath,downloadUrl,infoLink,
- daphne -,- daphne -_drow,- Daphne -,drow,bt1,images/__Daphne___meta.png,https://f.rpghq.org/sAw0HNweUXLq.pak?n=Drow_F%20-%20-%20Daphne%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- devana -,- devana -_drow,- Devana -,drow,bt1,images/__Devana___meta.png,https://f.rpghq.org/FEJs8WgxJulk.pak?n=Drow_F%20-%20-%20Devana%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- dione -,- dione -_drow,- Dione -,drow,bt1,images/__Dione___meta.png,https://f.rpghq.org/PAzd38kBXvjl.pak?n=Drow_F%20-%20-%20Dione%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- eithne -,- eithne -_drow,- Eithne -,drow,bt1,images/__Eithne___meta.png,https://f.rpghq.org/glT40jC0xZEX.pak?n=Drow_F%20-%20-%20Eithne%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- enyo -,- enyo -_drow,- Enyo -,drow,bt1,images/__Enyo___meta.png,https://f.rpghq.org/ILm79faVnzsm.pak?n=Drow_F%20-%20-%20Enyo%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- eris -,- eris -_drow,- Eris -,drow,bt1,images/__Eris___meta.png,https://f.rpghq.org/jTio7gM6DseQ.pak?n=Drow_F%20-%20-%20Eris%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- jilan -,- jilan -_drow,- Jilan -,drow,bt1,images/__Jilan___meta.png,https://f.rpghq.org/2hetWGvEri83.pak?n=Drow_F%20-%20-%20Jilan%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- keres -,- keres -_drow,- Keres -,drow,bt1,images/__Keres___meta.png,https://f.rpghq.org/wbqzGGyIZKTh.pak?n=Drow_F%20-%20-%20Keres%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- ligeia -,- ligeia -_drow,- Ligeia -,drow,bt1,images/__Ligeia___meta.png,https://f.rpghq.org/fV2l9iWznlNo.pak?n=Drow_F%20-%20-%20Ligeia%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- lyssa -,- lyssa -_drow,- Lyssa -,drow,bt1,images/__Lyssa___meta.png,https://f.rpghq.org/LewA48Q0VPi8.pak?n=Drow_F%20-%20-%20Lyssa%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- mora -,- mora -_drow,- Mora -,drow,bt1,images/__Mora___meta.png,https://f.rpghq.org/OskElV7Iu41n.pak?n=Drow_F%20-%20-%20Mora%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- orin -,- orin -_drow,- Orin -,drow,bt1,images/__Orin___meta.png,https://f.rpghq.org/Buq1VS5EvzGF.pak?n=Drow_F%20-%20-%20Orin%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- orin blind -,- orin blind -_drow,- Orin Blind -,drow,bt1,images/__Orin_Blind___meta.png,https://f.rpghq.org/MjyN7RR9CrXX.pak?n=Drow_F%20-%20-%20Orin%20Blind%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
- zenobia -,- zenobia -_drow,- Zenobia -,drow,bt1,images/__Zenobia___meta.png,https://f.rpghq.org/4Xu5yPHI6OIq.pak?n=Drow_F%20-%20-%20Zenobia%20-%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5989,
afp beatrice,afp beatrice_drow,AFP Beatrice,drow,bt1,images/AFP_Beatrice.webp,https://f.rpghq.org/AlumAoNTAmv9.pak?n=Drow_F%20-%20AFP%20Beatrice%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2710,
afp faye,afp faye_drow,AFP Faye,drow,bt1,images/AFP_Faye.webp,https://f.rpghq.org/KIe15ToiF5qK.pak?n=Drow_F%20-%20AFP%20Faye%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2710,
afp frances,afp frances_drow,AFP Frances,drow,bt1,images/AFP_Frances.webp,https://f.rpghq.org/kphavj887YT3.pak?n=Drow_F%20-%20AFP%20Frances%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2710,
afp harriet,afp harriet_drow,AFP Harriet,drow,bt1,images/AFP_Harriet.webp,https://f.rpghq.org/jGjF8WqLgZhg.pak?n=Drow_F%20-%20AFP%20Harriet%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2710,
afp jaenessa,afp jaenessa_drow,AFP Jaenessa,drow,bt1,images/AFP_Jaenessa.webp,https://f.rpghq.org/MGBkMxEg9vsk.pak?n=Drow_F%20-%20AFP%20Jaenessa%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2710,
afp maeve,afp maeve_drow,AFP Maeve,drow,bt1,images/AFP_Maeve.webp,https://f.rpghq.org/5OHXy2xqY64b.pak?n=Drow_F%20-%20AFP%20Maeve%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2710,
alice,alice_drow,Alice,drow,bt1,images/Alice_ocr.png,https://f.rpghq.org/SyrwYyMF1Lb0.pak?n=Drow_F%20-%20Alice%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/7370,
arete,arete_drow,Arete,drow,bt1,images/Arete_ocr.png,https://f.rpghq.org/ROSAJsB8lR6H.pak?n=Drow_F%20-%20Arete%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/7370,
athena (vemp),athena (vemp)_drow,Athena (VEMP),drow,bt1,images/Athena_(VEMP).webp,https://f.rpghq.org/uYlibcD8w0bg.pak?n=Drow_F%20-%20Athena%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
athena alt (vemp),athena alt (vemp)_drow,Athena Alt (VEMP),drow,bt1,images/Athena_Alt_(VEMP).webp,https://f.rpghq.org/zzSA86SHfVqv.pak?n=Drow_F%20-%20Athena%20Alt%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
aura,aura_drow,Aura,drow,bt1,images/Aura_ocr.png,https://f.rpghq.org/kRsl0KRa5HI4.pak?n=Drow_F%20-%20Aura%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6152,
aurora (vemp),aurora (vemp)_drow,Aurora (VEMP),drow,bt1,images/Aurora_(VEMP).webp,https://f.rpghq.org/GD1MiVWjvsoT.pak?n=Drow_F%20-%20Aurora%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
aurora alt (vemp),aurora alt (vemp)_drow,Aurora Alt (VEMP),drow,bt1,images/Aurora_Alt_(VEMP).webp,https://f.rpghq.org/wy6IuUIGEtCk.pak?n=Drow_F%20-%20Aurora%20Alt%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
avelane,avelane_drow,Avelane,drow,bt1,images/Avelane.webp,https://f.rpghq.org/fgnkiTGjTeRX.pak?n=Drow_F%20-%20Avelane%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/7370,
bishop,bishop_drow,Bishop,drow,bt1,images/Bishop_meta.png,https://f.rpghq.org/8NPcsYDJu1Gq.pak?n=Drow_F%20-%20Bishop%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5357,
blue brows,blue brows_drow,Blue Brows,drow,bt1,images/Blue__Brows.webp,https://f.rpghq.org/jVDwNcml1LKb.pak?n=Drow_F%20-%20Blue%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/470,
blue original,blue original_drow,Blue Original,drow,bt1,images/Blue__Original.webp,https://f.rpghq.org/jVDwNcml1LKb.pak?n=Drow_F%20-%20Blue%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/470,
blue,blue_drow,Blue,drow,bt1,images/Blue_ocr.png,https://f.rpghq.org/YoYyGDqaGyrw.pak?n=Drow_F%20-%20Blue%20%20Brows%20%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/470,
caitlyn,caitlyn_drow,Caitlyn,drow,bt1,images/Caitlyn_meta.png,https://f.rpghq.org/Tl4sknl2mQf0.pak?n=Drow_F%20-%20Caitlyn%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/13377,
caroline vampire,caroline vampire_drow,Caroline Vampire,drow,bt1,images/Caroline_Vampire.webp,https://f.rpghq.org/gKNCS8nnQVk7.pak?n=Drow_F%20-%20Caroline%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
caroline,caroline_drow,Caroline,drow,bt1,images/Caroline_ocr.png,https://f.rpghq.org/gKNCS8nnQVk7.pak?n=Drow_F%20-%20Caroline%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
ceres,ceres_drow,Ceres,drow,bt1,images/Ceres_ocr.png,https://f.rpghq.org/U4235wE2FiAy.pak?n=Drow_F%20-%20Ceres%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/7812,
charlie brows,charlie brows_drow,Charlie Brows,drow,bt1,images/Charlie__Brows.webp,https://f.rpghq.org/HwPLMWrpr94o.pak?n=Drow_F%20-%20Charlie%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/470,
charlie original,charlie original_drow,Charlie Original,drow,bt1,images/Charlie__Original.webp,https://f.rpghq.org/HwPLMWrpr94o.pak?n=Drow_F%20-%20Charlie%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/470,
charlie,charlie_drow,Charlie,drow,bt1,images/Charlie.webp,https://f.rpghq.org/jwlE7RtkhoyG.pak?n=Drow_F%20-%20Charlie%20%20Brows%20%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/470,
charlotte,charlotte_drow,Charlotte,drow,bt1,images/Charlotte_meta.png,https://f.rpghq.org/PgFQCQ32f7CA.pak?n=Drow_F%20-%20Charlotte%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5357,
daenestra (vemp),daenestra (vemp)_drow,Daenestra (VEMP),drow,bt1,images/Daenestra_(VEMP).webp,https://f.rpghq.org/U4KQcopBQSsl.pak?n=Drow_F%20-%20Daenestra%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
daenestra alt (vemp),daenestra alt (vemp)_drow,Daenestra Alt (VEMP),drow,bt1,images/Daenestra_Alt_(VEMP).webp,https://f.rpghq.org/DE6gSHGJnijE.pak?n=Drow_F%20-%20Daenestra%20Alt%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
desdemona,desdemona_drow,Desdemona,drow,bt1,images/Desdemona_ocr.png,https://f.rpghq.org/UtjzBqwMPws2.pak?n=Drow_F%20-%20Desdemona%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/7812,
doe,doe_drow,Doe,drow,bt1,images/Doe_ocr.png,https://f.rpghq.org/JPfJR7veM1VC.pak?n=Drow_F%20-%20Doe%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/9987,
elektra (vemp),elektra (vemp)_drow,Elektra (VEMP),drow,bt1,images/Elektra_(VEMP).webp,https://f.rpghq.org/ZBN56XIqCJmK.pak?n=Drow_F%20-%20Elektra%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
esmene,esmene_drow,Esmene,drow,bt1,images/Esmene_ocr.png,https://f.rpghq.org/qzr20jWSERWy.pak?n=Drow_F%20-%20Esmene%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6152,
fatima,fatima_drow,Fatima,drow,bt1,images/Fatima.webp,https://f.rpghq.org/HydvwJs8520C.pak?n=Drow_F%20-%20Fatima%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/9987,
freja,freja_drow,Freja,drow,bt1,images/Freja_ocr.png,https://f.rpghq.org/F2OkErL9euDp.pak?n=Drow_F%20-%20Freja%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/7812,
freya (vemp),freya (vemp)_drow,Freya (VEMP),drow,bt1,images/Freya_(VEMP).webp,https://f.rpghq.org/kNveXMX3V4Qy.pak?n=Drow_F%20-%20Freya%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
gwen vampire,gwen vampire_drow,Gwen Vampire,drow,bt1,images/Gwen_Vampire.webp,https://f.rpghq.org/1v3aDc2FdP9l.pak?n=Drow_F%20-%20Gwen%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
gwen,gwen_drow,Gwen,drow,bt1,images/Gwen.webp,https://f.rpghq.org/1v3aDc2FdP9l.pak?n=Drow_F%20-%20Gwen%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
head 01,head 01_drow,Head 01,drow,bt1,images/Head_01.webp,https://f.rpghq.org/pPaX8a1kTcWd.pak?n=Drow_F%20-%20Head%2001%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/9479,
head 02,head 02_drow,Head 02,drow,bt1,images/Head_02.webp,https://f.rpghq.org/8s1S1mDi9OTW.pak?n=Drow_F%20-%20Head%2002%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/9479,
head 03,head 03_drow,Head 03,drow,bt1,images/Head_03.webp,https://f.rpghq.org/8qlqyDeLpQZm.pak?n=Drow_F%20-%20Head%2003%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/9479,
idun,idun_drow,Idun,drow,bt1,images/Idun_ocr.png,https://f.rpghq.org/xptoFYuSVD5d.pak?n=Drow_F%20-%20Idun%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/7812,
imogen,imogen_drow,Imogen,drow,bt1,images/Imogen_meta.png,https://f.rpghq.org/TSvol9GC1EYC.pak?n=Drow_F%20-%20Imogen%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5194,
itrea,itrea_drow,Itrea,drow,bt1,images/Itrea_ocr.png,https://f.rpghq.org/Csl0eZ2aQBHq.pak?n=Drow_F%20-%20Itrea%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6152,
jinx i,jinx i_drow,Jinx I,drow,bt1,images/Jinx_II_meta.png,https://f.rpghq.org/yKT4d4V2MVbm.pak?n=Drow_F%20-%20Jinx%20I%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/13377,
jinx ii,jinx ii_drow,Jinx II,drow,bt1,images/Jinx_II_meta.png,https://f.rpghq.org/yKT4d4V2MVbm.pak?n=Drow_F%20-%20Jinx%20I%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/13377,
kalani,kalani_drow,Kalani,drow,bt1,images/Kalani_ocr.png,https://f.rpghq.org/niLYJHHEAF6T.pak?n=Drow_F%20-%20Kalani%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6152,
koryn,koryn_drow,Koryn,drow,bt1,images/Koryn_ocr.png,https://f.rpghq.org/Q2YgDBYYicWA.pak?n=Drow_F%20-%20Koryn%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6152,
krayn vampire,krayn vampire_drow,Krayn Vampire,drow,bt1,images/Krayn_Vampire.webp,https://f.rpghq.org/LOmaAWbTrFrl.pak?n=Drow_F%20-%20Krayn%20Vampire%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
krayn,krayn_drow,Krayn,drow,bt1,images/Krayn.webp,https://f.rpghq.org/LOmaAWbTrFrl.pak?n=Drow_F%20-%20Krayn%20Vampire%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
lielou arideya,lielou arideya_drow,Lielou Arideya,drow,bt1,images/Lielou__Arideya.webp,https://f.rpghq.org/Ij5GLZgjCL3l.pak?n=Drow_F%20-%20Lielou%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/470,
lielou brows,lielou brows_drow,Lielou Brows,drow,bt1,images/Lielou__Brows.webp,https://f.rpghq.org/Ij5GLZgjCL3l.pak?n=Drow_F%20-%20Lielou%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/470,
lielou original,lielou original_drow,Lielou Original,drow,bt1,images/Lielou__Original.webp,https://f.rpghq.org/Ij5GLZgjCL3l.pak?n=Drow_F%20-%20Lielou%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/470,
lielou,lielou_drow,Lielou,drow,bt1,images/Lielou_ocr.png,https://f.rpghq.org/1JvVniE67MDb.pak?n=Drow_F%20-%20Lielou%20%20Arideya%20%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/470,
lilith,lilith_drow,Lilith,drow,bt1,images/Lilith_meta.png,https://f.rpghq.org/aGMh3dxgqsnF.pak?n=Drow_F%20-%20Lilith%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5194,
liran,liran_drow,Liran,drow,bt1,images/Liran.webp,https://f.rpghq.org/J2S6FyrlnDmI.pak?n=Drow_F%20-%20Liran%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/7370,
loreleyah vampire,loreleyah vampire_drow,Loreleyah Vampire,drow,bt1,images/Loreleyah_Vampire.webp,https://f.rpghq.org/nsg96znqYhTc.pak?n=Drow_F%20-%20Loreleyah%20Vampire%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,https://f.rpghq.org/nsg96znqYhTc.pak?n=Drow_F%20-%20Loreleyah%20Vampire%20%5BTCoF%5D%20%5BDONE%5D.pak
loreleyah,loreleyah_drow,Loreleyah,drow,bt1,images/Loreleyah.webp,https://f.rpghq.org/nsg96znqYhTc.pak?n=Drow_F%20-%20Loreleyah%20Vampire%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
luna,luna_drow,Luna,drow,bt1,images/Luna_ocr.png,https://f.rpghq.org/NVkIcjC0gbmX.pak?n=Drow_F%20-%20Luna%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/7812,
lynhe,lynhe_drow,Lynhe,drow,bt1,images/Lynhe_ocr.png,https://f.rpghq.org/dCjN4OccBnXr.pak?n=Drow_F%20-%20Lynhe%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6152,
manon vampire,manon vampire_drow,Manon Vampire,drow,bt1,images/Manon_Vampire.webp,https://f.rpghq.org/WFDHwljqkHcD.pak?n=Drow_F%20-%20Manon%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
manon,manon_drow,Manon,drow,bt1,images/Manon_ocr.png,https://f.rpghq.org/WFDHwljqkHcD.pak?n=Drow_F%20-%20Manon%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
marjolaine,marjolaine_drow,Marjolaine,drow,bt1,images/Marjolaine_meta.png,https://f.rpghq.org/ZheS1Dh4aKgV.pak?n=Drow_F%20-%20Marjolaine%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/9987,
medea vampire,medea vampire_drow,Medea Vampire,drow,bt1,images/Medea_Vampire.webp,https://f.rpghq.org/fAaVrFN633uj.pak?n=Drow_F%20-%20Medea%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
medea,medea_drow,Medea,drow,bt1,images/Medea_ocr.png,https://f.rpghq.org/fAaVrFN633uj.pak?n=Drow_F%20-%20Medea%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
mel,mel_drow,Mel,drow,bt1,images/Mel_meta.png,https://f.rpghq.org/iNyroBsburtf.pak?n=Drow_F%20-%20Mel%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/13377,
meri,meri_drow,Meri,drow,bt1,images/Meri_meta.png,https://f.rpghq.org/WC67wxoGZusw.pak?n=Drow_F%20-%20Meri%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5194,
minerva (vemp),minerva (vemp)_drow,Minerva (VEMP),drow,bt1,images/Minerva_(VEMP).webp,https://f.rpghq.org/RiNaXUQv3jF2.pak?n=Drow_F%20-%20Minerva%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
minerva alt (vemp),minerva alt (vemp)_drow,Minerva Alt (VEMP),drow,bt1,images/Minerva_Alt_(VEMP).webp,https://f.rpghq.org/pzmaQU7LZDNj.pak?n=Drow_F%20-%20Minerva%20Alt%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
minthy (vemp),minthy (vemp)_drow,Minthy (VEMP),drow,bt1,images/Minthy_(VEMP).webp,https://f.rpghq.org/XZTqdRMZLF1M.pak?n=Drow_F%20-%20Minthy%20(VEMP)%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/2226,
moka,moka_drow,Moka,drow,bt1,images/Moka.webp,https://f.rpghq.org/RL6CB1KBdmtz.pak?n=Drow_F%20-%20Moka%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/7370,
nehiri,nehiri_drow,Nehiri,drow,bt1,images/Nehiri_meta.png,https://f.rpghq.org/yIgK00K5gAzL.pak?n=Drow_F%20-%20Nehiri%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5194,
nessa,nessa_drow,Nessa,drow,bt1,images/AFP_Jaenessa.webp,https://f.rpghq.org/MGBkMxEg9vsk.pak?n=Drow_F%20-%20AFP%20Jaenessa%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6152,
olivia,olivia_drow,Olivia,drow,bt1,images/Olivia.webp,https://f.rpghq.org/bM32CNJgX43e.pak?n=Drow_F%20-%20Olivia%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/9987,
onhee's preset 3 alexa with fangs,onhee's preset 3 alexa with fangs_drow,Onhee's Preset 3 Alexa With Fangs,drow,bt1,images/Onhee's_Preset_3_Alexa_With_Fangs.webp,https://f.rpghq.org/GE4c0huhQsgi.pak?n=Drow_F%20-%20Onhee's%20Preset%203%20Alexa%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/8495,
onhee's preset 3 alexa,onhee's preset 3 alexa_drow,Onhee's Preset 3 Alexa,drow,bt1,images/Onhee's_Preset_3_Alexa.webp,https://f.rpghq.org/GE4c0huhQsgi.pak?n=Drow_F%20-%20Onhee's%20Preset%203%20Alexa%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/8495,
orwena,orwena_drow,Orwena,drow,bt1,images/Orwena_ocr.png,https://f.rpghq.org/AzyFMuEer3vT.pak?n=Drow_F%20-%20Orwena%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6152,
percie,percie_drow,Percie,drow,bt1,images/Percie_meta.png,https://f.rpghq.org/jOHMG2rCidr2.pak?n=Drow_F%20-%20Percie%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5357,
powder,powder_drow,Powder,drow,bt1,images/Powder_meta.png,https://f.rpghq.org/dVuC9FxrkfPR.pak?n=Drow_F%20-%20Powder%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/13377,
ranna vampire,ranna vampire_drow,Ranna Vampire,drow,bt1,images/Ranna_Vampire.webp,https://f.rpghq.org/irrCHBfLKXXb.pak?n=Drow_F%20-%20Ranna%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
ranna,ranna_drow,Ranna,drow,bt1,images/Ranna.webp,https://f.rpghq.org/irrCHBfLKXXb.pak?n=Drow_F%20-%20Ranna%20%5BTCoF%5D%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/6635,
rina,rina_drow,Rina,drow,bt1,images/Rina_meta.png,https://f.rpghq.org/0e7RuDkkzpxY.pak?n=Drow_F%20-%20Rina%20%5BDONE%5D.pak,https://www.nexusmods.com/baldursgate3/mods/5357,
